track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
2wV6F22JUYYhVidQZgcWrH,0.431,,0.909,0.3,0.55,0.00342,113.201,-8.899
1PELiBvwMisTq8ERS5OhlD,0.642,,0.788,0.137,0.889,0.0256,111.652,-10.002
5YJzW4mHvrhUk3owAvNlU8,0.545,,0.841,0.454,0.829,0.616,115.241,-11.555
61g5yH0ig62XhtQ161kEED,0.339,,0.688,0.414,0.532,0.001,101.464,-9.799
2Kka8ruBg8jCabrZyAVEHS,0.605,,0.691,0.467,0.965,0.742,123.288,-10.57
3lXXHpUSHFEl0CDQt4ekJ2,0.521,,0.819,0.429,0.261,0.0703,128.54,-9.694
0cyrmJCVIOvYjFVXX8PFNU,0.713,,0.192,0.677,0.75,0.0,108.792,-12.337
1X61yfpp5giHf2Iz9d4YCq,0.505,,0.206,0.718,0.651,0.0,117.531,-11.73
44AgaeLQCnvk3PPHIaDeDk,0.673,,0.243,0.911,0.644,0.0,101.531,-13.868
2dOYBjbJqOlKjiraPHY1rX,0.552,,0.511,0.782,0.757,0.0,120.189,-10.005
08H1RrAJpBJtzoC6IDuARQ,0.488,,0.358,0.633,0.552,0.0,105.187,-10.695
7nyECfR6PvSLg54lI0rrjG,0.652,,0.579,0.705,0.966,2.52e-06,157.408,-11.158
5z2Im1TXtQDJf7rx2DYmsN,0.625,,0.405,0.728,0.843,0.0,135.193,-10.925
1WNTorgsJLCL9n3OCS7opN,0.676,,0.218,0.877,0.358,6.37e-05,109.232,-13.704
4W7ps5zORgRWe691hlxXzC,0.745,,0.837,0.511,0.932,0.339,134.471,-9.169
2HtrdkCBIUlRBJ8m46yCFW,0.72,,0.705,0.421,0.871,5.19e-06,78.764,-8.554
6L5Qc1Ol4ENtzvQPhN4Hsh,0.603,,0.296,0.68,0.536,0.0,96.571,-9.481
37cbiqy4YfNTvk1mDETyNj,0.448,,0.234,0.662,0.559,1.44e-06,188.161,-13.415
2nV6LVdwqzy8qWO8WRmTZb,0.81,,0.679,0.22,0.873,0.00883,130.517,-9.042
5iw29cLh7LBc7z2ISdIVm9,0.507,,0.76,0.439,0.838,1.53e-05,79.462,-8.519
3w29gvOFQY4zITid74yzDN,0.574,,0.108,0.607,0.362,0.00893,106.168,-17.12
1SpC61Si1ad4tFCln9sO8N,0.538,,0.336,0.695,0.571,0.0,67.313,-13.659
42FYpXjTDH9AAtkFnGnSZL,0.564,,0.363,0.239,0.688,0.538,109.121,-11.463
4jKPBqcvQ2oSZ7D2Wx4fhA,0.728,,0.665,0.599,0.965,0.143,128.639,-11.258
4WRRuJ7pARaP2Hfoill07y,0.781,,0.409,0.292,0.882,0.000248,129.22,-10.943
5G5VR0VIlVMSqbKOnrg0fM,0.425,,0.34,0.496,0.417,0.516,100.201,-13.709
69QHm3pustz01CJRwdo20z,0.389,,0.873,0.00532,0.303,0.0055,106.767,-4.768
0C80GCp0mMuBzLf3EAXqxv,0.457,,0.904,0.000239,0.48,0.0879,141.038,-5.303
6Th6ND8RQPywiyelecP5Lf,0.532,,0.858,0.00533,0.495,2.13e-06,125.698,-5.023
6rAy2MsMUabbqu2VygrblP,0.525,,0.975,0.0704,0.736,2.22e-05,132.686,-4.372
5XeMsYb1rWxQL1bUUaZajn,0.4,,0.902,0.115,0.632,0.000116,105.659,-4.385
08mG3Y1vljYA6bvDt4Wqkj,0.31,,0.7,0.011,0.763,0.00965,188.386,-5.678
2SiXAy7TuUkycRVbbWDEpo,0.532,,0.767,0.00287,0.755,0.000513,127.361,-5.509
4dDurgTN3eGyU0ghzFJ0T1,0.421,,0.889,0.00167,0.424,0.00838,122.424,-5.166
2MCUmp0I98gsJBmey7DfZS,0.417,,0.942,0.0234,0.618,0.00857,152.346,-4.225
6J17MkMmuzBiIOjRH6MOBZ,0.576,,0.659,0.041,0.717,0.0,94.853,-5.617
2C0sqGNrzgKUwiKeJiOPSa,0.658,,0.418,0.252,0.613,0.00125,75.015,-7.568
5CYwaNS12milkMMyNgEOLY,0.709,,0.841,0.19,0.961,0.000195,117.538,-6.143
2IkM8zrt6Y1F344CNfaDA0,0.414,,0.342,0.531,0.239,1.31e-05,167.166,-9.676
5DaqgXFk5SxNCiMOpuPJS2,0.787,,0.489,0.436,0.911,0.0224,97.713,-7.713
4pdLyulbYLCrPmDzWWeJIZ,0.499,,0.246,0.7,0.152,0.00227,148.468,-12.806
0VqcV6Y2le5UEyvsJ9bYek,0.719,,0.667,0.317,0.832,0.000732,82.407,-6.259
5zQyqgNXKzhifkivumzxDS,0.74,,0.322,0.551,0.629,0.000763,102.889,-9.26
61xW0GqeX38uF0elO3jjql,0.86,,0.498,0.641,0.963,0.000964,105.693,-9.026
0OY4ztej0wqS7AF2pHHtCu,0.564,,0.483,0.334,0.213,0.0017,72.772,-6.144
6qf0g9xgEJvSdxGEuyQOlP,0.743,,0.81,0.631,0.803,0.0249,148.669,-6.235
4busFoxb3889B2pkASDn9U,0.502,,0.329,0.754,0.45,2.78e-06,145.613,-9.232
1Fqpmx1czeozS97PmFja8f,0.474,,0.287,0.671,0.138,0.000165,140.378,-9.434
3ZFKV8EeOUDNXU8QCbUrPp,0.755,,0.721,0.158,0.808,0.000924,134.763,-7.622
1NGGxERGytoBIGn7dtSzeu,0.744,,0.648,0.0691,0.93,0.00183,119.331,-6.033
1yMYxygJcxIFAK4YaMcwZg,0.644,,0.409,0.783,0.56,0.00011,70.401,-7.377
3It1OL5RYsw68lLQJ986SH,0.783,,0.538,0.335,0.503,7.67e-05,122.932,-6.502
7o0BKYom7OGIVUFJPUkRU8,0.494,,0.885,0.0995,0.497,0.0,102.908,-7.14
3r8rlP9gNjOjB2DDDAKQ3T,0.583,,0.53,0.493,0.571,0.0,83.459,-8.192
36HqHHtbDtjdbzFtVWL3nM,0.704,,0.67,0.0716,0.649,3.81e-06,120.119,-6.323
3OMIRD5ctTKGxtPFswyD2I,0.464,,0.45,0.479,0.327,0.0,122.321,-8.311
78lgmZwycJ3nzsdgmPPGNx,0.564,,0.932,0.013,0.619,0.169,112.937,-10.068
7jP44G0vKQLkfJ3x19pqPn,0.257,,0.452,0.744,0.271,0.0996,83.553,-12.365
78MXICbE7bD4cuPKFh1EFO,0.453,,0.895,0.0348,0.446,0.00128,128.313,-9.143
1SDiiE3v2z89VxC3aVRKHQ,0.393,,0.364,0.0021,0.308,0.0703,118.566,-10.945
6fxcpQMUoX0ofnbIHVnVWN,0.418,,0.962,0.083,0.59,0.00282,94.141,-8.423
4S2QZuPFZ9qeHW2sonMJS1,0.399,,0.845,0.125,0.359,0.00109,105.911,-8.736
4ywWJqYKOwaVVh9xXARWUS,0.306,,0.398,0.0857,0.0948,6.02e-05,85.622,-12.767
1ZUv3ISx2nFaz0JimVdcoT,0.245,,0.328,0.673,0.102,0.0,86.926,-11.553
1dK6cNOMYjEP3QGYOfwP6t,0.525,,0.501,0.16,0.333,0.025,108.291,-14.192
63jSSgwKQtEdOVRuj85GX7,0.399,,0.463,0.376,0.278,0.0841,115.85,-13.789
7pKfPomDEeI4TPT6EOYjn9,0.547,,0.257,0.907,0.169,0.183,75.752,-12.358
5CG4RXjli90Zd1KDalPqeK,0.545,,0.608,0.193,0.681,0.0699,165.617,-9.372
3D9iV6cYkYJRAPFO6DRKIE,0.489,,0.389,0.877,0.254,0.32,131.366,-11.653
0YPyhXgtDks7BQozBSGCk4,0.754,,0.391,0.0137,0.942,0.612,82.372,-10.373
