track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
4fUKE8EULjQdHF4zb0M8FO,0.451,,0.673,0.0857,0.583,0.00225,95.513,-9.115
2RnPATK99oGOZygnD2GTO6,0.705,,0.515,0.365,0.803,0.0,112.035,-9.343
25yQPHgC35WNnnOUqFhgVR,0.311,,0.325,0.0469,0.668,0.0,65.09,-9.042
3LtOmWpTXLhilL5odoKysR,0.632,,0.471,0.313,0.764,5.08e-06,121.672,-7.887
3pKKxkeB1pOUMHwWBmKc3Y,0.469,,0.507,0.382,0.619,0.0,112.984,-8.917
3PjMtNzwhDHqxoKudm6GvF,0.381,,0.214,0.944,0.393,0.0,127.581,-11.629
6W35n1UlkvqhfMZstB4BXs,0.526,,0.413,0.338,0.71,0.0,111.874,-9.865
3Umg8CDhO8dOSj7yBTInYb,0.352,,0.479,0.339,0.354,0.000353,126.166,-9.965
1NrbnHlR2BFREcyWXHIHip,0.704,,0.241,0.625,0.661,2.8e-05,140.411,-13.258
6h9W5FxX4E9lUFsyq8j1AD,0.61,,0.471,0.0634,0.63,0.0,87.379,-9.151
0xIuNHHcKI1JDuBPlSwzb1,0.542,,0.618,0.0858,0.93,0.0,121.849,-8.876
42ocGQCOT0xYtV3f5kJDsD,0.653,,0.889,0.0061,0.879,0.589,118.773,-8.006
0hKRSZhUGEhKU6aNSPBACZ,0.364,,0.457,0.29,0.175,0.000106,163.219,-14.162
2CQRYn5cTD2B9a1ONjhTN2,0.396,,0.686,0.725,0.717,1.04e-06,124.318,-5.607
4fJtDPJ2NiLfFfZfu8HyYc,0.436,,0.434,0.119,0.121,2.95e-06,88.872,-7.965
0VJZtH2OjNKskNegMVIzYR,0.598,,0.553,0.565,0.356,6.76e-06,116.04,-7.473
6gDRRyg6bSODdwbuUBupoU,0.117,,0.243,0.0985,0.102,0.00615,85.94,-11.335
2Bjic7K9fTNS8pYuMXq8Va,0.317,,0.584,0.544,0.681,0.000725,166.209,-6.245
3GsgJI1aBrvUtqX8f3MhKT,0.279,,0.31,0.254,0.0807,0.806,87.872,-13.113
2ULL3VZf4WwBKO4vjwT7Bg,0.567,,0.745,0.402,0.903,0.0,125.575,-5.423
6iGU74CwXuT4XVepjc9Emf,0.521,,0.487,0.253,0.483,0.0,117.072,-7.525
5VsxBUyw0TRwVC7ja1CIBc,0.602,,0.739,0.123,0.569,5.73e-05,116.668,-5.715
3Ev5ATks540KaOFTjIH97S,0.52,,0.75,0.489,0.652,1.85e-06,121.082,-5.26
4CuO8TINNqM3D7aUdNQ3zG,0.22,,0.581,0.513,0.445,0.0,186.427,-5.877
6CcgkjU9891S2S4lHKXaYh,0.628,,0.768,0.0837,0.798,0.816,116.844,-6.406
5RSQKtG1KNwrzFMEePpjt6,0.402,,0.426,0.775,0.641,6.12e-06,75.866,-9.662
4ZSBGLE9j9buk6DXVSryBI,0.611,,0.741,0.342,0.506,2.5e-06,115.628,-4.408
2Gy7qnDwt8Z3MNxqat4CsK,0.392,,0.629,0.718,0.72,3.76e-06,124.511,-7.056
0SMo38XgNvaBTNKo7skEKt,0.424,,0.335,0.268,0.208,0.000563,88.465,-10.032
0mmNp0RzyHH5Svf1j3pc0W,0.615,,0.538,0.733,0.509,5.47e-05,115.027,-8.488
