track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
1U0OueoBA6vNNhrqCvdNOX,0.431,,0.371,0.354,0.517,5.67e-05,95.824,-17.166
2e4RcQohKWo8oZIUfjxiGo,0.209,,0.979,0.143,0.219,6.95e-05,147.9,-4.791
21MwEJ8tHezcPy77BaELJ6,0.157,,0.989,0.0324,0.196,3.38e-05,157.609,-5.065
4GtIKUB1Q5O65ofahYPRfX,0.286,,0.961,0.0315,0.592,3.91e-06,164.291,-5.743
2Hs7YqZwFEPIxRTnqtrHvP,0.343,,0.962,0.00632,0.312,5.92e-05,149.067,-4.984
4AqfCW0jMeByTMZdoqHlH4,0.231,,0.968,0.00467,0.195,0.000252,154.447,-5.322
6ui6l3ZNvlrGQZArwo8195,0.274,,0.908,0.00103,0.483,0.00219,148.246,-5.419
0PgpDLsbk8wnYpgMCynGLz,0.347,,0.922,0.0667,0.532,0.635,144.004,-6.523
3LoDeIbiR12sAznmpNEmKA,0.323,,0.978,0.0422,0.168,0.00019,134.222,-3.841
6jjASY7DtqLdM0zJbAQcnX,0.363,,0.873,0.0179,0.559,0.000713,122.887,-5.216
2mKj8Em0GLFu8I78yM1CfU,0.258,,0.932,0.0467,0.334,8.09e-06,145.582,-5.194
1sRWDB2Db5mZVealHeNYJt,0.365,,0.943,0.0121,0.581,0.00518,137.572,-5.154
6FAF8l0j91yX6SwkQNhrm7,0.197,,0.954,0.00502,0.475,0.0985,145.102,-3.687
6ToM0uwxtPKo9CMpbPGYvM,0.421,,0.751,0.2,0.789,0.0,89.839,-9.584
2Xdc6qyaFBJZ8QW1KhpVci,0.679,,0.443,0.33,0.609,0.0,115.843,-7.376
0gWvVB4bGvADocoPMEDy3K,0.313,,0.42,0.797,0.339,2.35e-06,178.711,-9.806
7mc2TP4Vzuyw2vNf1bLW9f,0.583,,0.675,0.316,0.693,0.0,114.208,-7.126
0JNZGIavoUrdup1NsgJOQs,0.568,,0.645,0.543,0.901,0.0,170.676,-8.363
5uvosCdMlFdTXhoazkTI5R,0.413,,0.725,0.369,0.44,2.16e-05,124.618,-5.787
03By6gD02qhtvIQiK8KidK,0.476,,0.612,0.287,0.909,0.000252,177.233,-7.01
6vCLIvOIabRk1XQfMb6RXi,0.396,,0.707,0.0257,0.843,0.0,148.814,-7.989
09ezgACZuwWZt6CtQSSLRG,0.41,,0.218,0.902,0.0755,0.000396,72.081,-12.544
4pxHVL0syMQwYK3BxDaTIs,0.414,,0.554,0.00243,0.531,0.0,149.244,-7.68
5UgT7w6zVZjP3oyawMzbiK,0.347,,0.302,0.163,0.0332,9.17e-05,105.702,-12.104
574y1r7o2tRA009FW0LE7v,0.592,,0.0195,0.361,0.0313,0.839,119.504,-33.35
2ctvdKmETyOzPb2GiJJT53,0.431,,0.373,0.389,0.253,0.728,128.153,-15.142
73OIUNKRi2y24Cu9cOLrzM,0.389,,0.563,0.65,0.134,0.903,165.393,-21.191
3TO7bbrUKrOSPGRTB5MeCz,0.359,,0.48,0.521,0.355,0.0043,120.285,-11.79
2TjdnqlpwOjhijHCwHCP2d,0.274,,0.217,0.767,0.181,0.896,116.334,-13.814
