track_id,danceability,energy,acousticness,valence,tempo,loudness
0CGbof9amBnsNlRhZ8IY2H,0.552,0.487,0.0175,0.657,127.201,-10.574
7C6hdDIz90Uf5YmdZnYbJJ,0.492,0.755,0.00748,0.796,127.387,-9.273
4gUYV3ktbaOeAK5KrXMWV5,0.563,0.705,0.0103,0.822,176.732,-9.232
4cgLt753cDfsBAbpOcGnZi,0.552,0.762,0.133,0.812,101.655,-9.793
0lz97gXzH4DD822L62kLeK,0.48,0.78,0.499,0.498,98.32,-10.99
0oQV9CKXruLbVUTn76eBnr,0.542,0.436,0.933,0.795,109.951,-12.844
3KAbXV1OSwthoke6BqR0y5,0.285,0.652,0.479,0.686,108.395,-10.413
1J3WjiLbPAdW0mSBTxoHQF,0.51,0.836,0.477,0.628,100.042,-11.118
4WaiTpMvsv1zgiEkVHw1Sn,0.595,0.632,0.675,0.655,93.893,-11.925
6FQZnK64Y3jGmMHkhV9gWo,0.588,0.606,0.336,0.665,113.542,-10.167
5fFDpE3pw7rHLSl8N3tj75,0.277,0.231,0.796,0.155,76.188,-12.975
7BkWM4XInRQJJI9HXjvPVB,0.692,0.676,0.762,0.881,94.128,-10.657
42o3gy9e8dzBHvQE991ad8,0.485,0.943,0.0639,0.889,141.982,-4.423
0SojSZcka4j8l8Sl0W9jUZ,0.548,0.952,0.118,0.906,98.04,-2.958
3u28KPrRmJiNC39Fm3tZVe,0.374,0.787,0.69,0.763,180.496,-7.054
3NDEunNz7GMb6SkkPYTvd2,0.53,0.691,0.374,0.581,117.046,-5.409
4hq0S6wznq7SHDyMOFXL9i,0.615,0.91,0.5,0.77,111.013,-4.248
1hJrWWK74fKL7eeV3CFOvF,0.477,0.74,0.502,0.56,107.384,-5.397
5SiCTf5r1cVjQXAXB2StpS,0.454,0.766,0.664,0.776,90.677,-3.862
60OdLDvZpHe4kVDYwNtYh9,0.498,0.728,0.65,0.609,174.33,-7.387
05BcisbhFsmVpTZ0kGD7gK,0.471,0.843,0.636,0.632,156.695,-5.702
0rucXTNGt4BHpAjNR5d0UF,0.555,0.897,0.361,0.965,131.712,-3.469
7wSVa5dSpjM62zrF0WsMVQ,0.517,0.781,0.65,0.742,119.364,-6.33
74mpiRPDd2rFeBR1Yl60I3,0.618,0.678,0.6,0.79,133.453,-5.199
22OTrlQy1sXdtdo1VgDUZb,0.654,0.542,0.689,0.877,78.015,-14.696
2u63axjx9VKmFfQNqmpi8a,0.352,0.656,0.869,0.363,76.121,-5.721
5GHKbjIY0gTCqoY5aruDDc,0.519,0.973,0.39,0.822,140.221,-3.044
09eg3FGzsZQbZk8qEXhJIA,0.522,0.891,0.509,0.91,104.411,-4.085
