track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
2FNsNZjUQg3bhx5dWW0pRs,0.594,,0.86,0.0119,0.672,0.0,114.09,-6.723
4W9zZsQKsqikYbKM9vcN5Q,0.636,,0.684,0.00312,0.684,0.0,96.989,-9.37
6wtmql7FJ7SSLuSw8JD8rX,0.609,,0.799,0.0458,0.77,0.0,149.046,-7.902
33GXePBlErinst4NjAvWuc,0.555,,0.806,0.0611,0.832,0.0,140.676,-7.534
72boGlgSwUK01n44O2tOCv,0.608,,0.634,0.0568,0.84,0.00615,147.515,-11.24
66MwdlxiFMZ8TJGLEJnS7x,0.676,,0.723,0.06,0.884,8.72e-05,145.336,-7.61
0jnFDxgNhS156vu6roUVco,0.74,,0.613,0.00494,0.676,0.118,96.491,-9.487
1bzfgbLPF3XTyDhmvoQ6uH,0.491,,0.734,0.0129,0.885,0.0,148.275,-8.077
3lUVy400HL94NB03paDTyN,0.679,,0.842,0.0572,0.767,0.0,137.589,-7.28
1YvbtzUkXtgotCTo6QeqkW,0.496,,0.73,0.0728,0.918,0.0,162.314,-8.009
2zAwL5UwmqIh3JoKVkFvd8,0.487,,0.76,0.22,0.508,6.44e-05,143.404,-7.743
4A8jvQQ5EnKlTJIirMhgfA,0.555,,0.697,0.0289,0.902,4.77e-06,127.303,-8.615
2X89n7LOYnkKzfIlvi8sRp,0.467,,0.917,0.0585,0.813,0.0,141.068,-6.813
1eijsmCG81EUB5YGGAz6Yv,0.498,,0.851,0.00751,0.846,2.16e-05,137.635,-7.251
4HNkcbObzBZnIlxB49GgrC,0.638,,0.702,0.00298,0.849,5.57e-06,158.441,-10.341
6ITuEsxEy2qPhqMowdDAeI,0.762,,0.722,0.0922,0.966,0.000368,122.769,-8.712
7BkAlVpGwXXl3sYNn5OoJ7,0.556,,0.592,0.458,0.587,0.0,94.887,-7.378
2qTvEdNY21mL9whUJot9Oc,0.492,,0.646,0.686,0.693,0.000153,104.394,-7.702
2rslQV48gNv3r9pPrQFPW1,0.59,,0.484,0.321,0.652,0.0,93.428,-10.424
40GFPBolcy0yucApV9uxq2,0.431,,0.626,0.547,0.762,6.14e-05,96.494,-9.46
7tJQ4Ekp2vN3NlI3vJJW3v,0.509,,0.68,0.36,0.802,0.0,99.924,-8.354
1NYTj6JEw3IOh4ggiBh82h,0.466,,0.747,0.301,0.628,0.0,135.527,-9.882
6aeOSY6fPsvGTzyXi65pNY,0.572,,0.592,0.304,0.968,1.12e-06,97.475,-8.639
37Dl7jQMmt0gUnzTKqnjkN,0.563,,0.441,0.773,0.468,0.0,115.168,-9.902
2SbnSPLltgmScvZVI0OcRF,0.598,,0.885,0.579,0.96,0.0,111.89,-6.904
1HgFg4pCJO1tX1uh5NMALx,0.367,,0.392,0.249,0.43,0.0,121.661,-9.745
08TyPDbQ14NOoOWh13WJ2Z,0.565,,0.738,0.223,0.806,0.0,134.109,-7.526
4i4oDSWluhViEzuYIZYtmJ,0.365,,0.508,0.0793,0.623,4.04e-05,155.741,-12.103
74z9AsqO74WCnX3BlvbGAL,0.352,,0.856,0.296,0.704,3.75e-06,189.846,-7.132
4jdtLLyEL7wY0TlCdMKhxq,0.301,,0.385,0.604,0.275,0.0,171.836,-10.755
0h7N5rOgTT1rSwLoj9f3Bk,0.52,,0.824,0.509,0.753,9.34e-05,146.773,-7.092
473McZs08uo5AIimJyAelZ,0.542,,0.699,0.628,0.827,0.0,138.383,-5.829
5JCbyeGTxbxMRZICQ0OkZO,0.554,,0.772,0.599,0.969,0.0,135.849,-6.123
0qsS2A3hwicJCLtcaR6JRQ,0.308,,0.895,0.389,0.902,0.0,150.109,-5.157
5Qe7NHxeLAn8KoLTNLSdwe,0.496,,0.703,0.525,0.936,2.08e-06,130.915,-6.905
2D2u93x695mLEvAoCJZ8Yl,0.387,,0.551,0.2,0.903,0.0,155.209,-9.643
0IqGdE8K3AguQWVEZ6wEV3,0.451,,0.62,0.279,0.84,0.0,172.112,-6.877
1E4FcSqQs7U2RTebCNaYRH,0.59,,0.798,0.154,0.762,0.0,138.453,-6.91
5BZshzyuOfIGxmVt6RK7vn,0.764,,0.322,0.63,0.625,2.1e-06,113.35,-10.987
1kN5RXxIYrSbCgO8ke88rV,0.656,,0.616,0.407,0.781,0.0,138.655,-6.909
4gxs9En3aoaOm2J5wNMMm9,0.588,,0.811,0.339,0.802,4.06e-06,89.862,-7.299
55RzZKWf4ICmLH4ulzkXNG,0.523,,0.846,0.0387,0.734,0.0,123.391,-6.655
3iD2CCv5bsJRIaqJRYD0uJ,0.381,,0.162,0.88,0.345,0.0,96.744,-12.44
2hOC9qItvmSkgMnxRjgPSr,0.554,,0.742,0.205,0.746,0.0,94.969,-7.098
7oNt2nOzTTMCSMbIKP2inQ,0.395,,0.362,0.195,0.387,0.0,184.294,-9.601
7LNiAjyg9P2GKINTtN6Yt8,0.381,,0.608,0.113,0.742,0.0,106.299,-10.061
