track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
3RkQ3UwOyPqpIiIvGVewuU,0.39,,0.31,0.794,0.584,0.0,177.515,-14.545
3K10pmwoFZt5N6ESWvDQkv,0.44,,0.213,0.527,0.433,0.0,181.322,-14.978
5Oer8yskMaCGXwGSfM7xr9,0.681,,0.257,0.597,0.566,0.0,115.867,-15.348
4EgKcG7aswxVfQEqa3dl8S,0.699,,0.197,0.655,0.361,0.0,122.871,-14.792
6H3kDe7CGoWYBabAeVWGiD,0.634,,0.63,0.447,0.489,0.039,118.628,-8.277
4GNEqWXhKEoMyL3k5wF0r7,0.371,,0.482,0.278,0.295,0.00468,184.36,-11.795
6zD3VBPn2VNDdmLEg0coPt,0.531,,0.759,0.627,0.888,7.04e-06,120.96,-10.992
31YMV7aMItO8jzyc10iRrS,0.681,,0.633,0.00869,0.954,0.049,129.591,-9.997
06FcMPcosZg13x2QODDDK6,0.558,,0.684,0.433,0.867,0.00293,116.232,-8.246
3tIvHt7VaIenprWXrYzgwb,0.403,,0.658,0.772,0.512,3.96e-06,75.488,-10.285
2pbHaKsIRuIqjZHCLpyQMv,0.471,,0.371,0.756,0.543,0.0272,143.892,-11.123
5m6livL7ccIS92wq16n52r,0.406,,0.768,0.507,0.55,0.0473,99.855,-9.321
6lFZbCc7pn6Lme1NP7qQqQ,0.32,,0.62,0.64,0.472,6.36e-05,86.327,-9.686
4KcH1ZRV2W1q7Flq0QqC76,0.385,,0.783,0.000269,0.902,0.47,176.701,-2.533
55mKuESqpfgqe0kooIkTH2,0.481,,0.88,0.00305,0.961,0.642,156.859,-1.108
0vGCxnTwYZFtOAW3oz28kd,0.232,,0.866,0.0801,0.722,0.0962,179.551,-1.38
70U8S3FnHJlwPuid3D2A5d,0.502,,0.837,0.00211,0.677,1.38e-05,133.694,-3.184
0qh1urPOJNYPrBQREE5lLS,0.287,,0.935,0.00595,0.709,0.0,183.067,-1.844
1KWWXe7kMpVptnBsdiiyVb,0.219,,0.684,0.000423,0.71,0.000421,176.817,-2.661
6WPZnQd1Ic50z5RzKWhZKT,0.233,,0.813,3.96e-06,0.819,0.485,178.959,-3.882
18hdp5HzsWTsl6NjsPhnpB,0.183,,0.902,1.06e-05,0.757,0.537,177.658,-4.267
2A0zKcpBgK7v9G2gsimPIY,0.278,,0.904,0.00276,0.713,0.00219,177.278,-2.019
6XelYgwWSqRpwMs15BgGYM,0.295,,0.899,0.000715,0.826,0.000253,179.209,-1.733
1KsSlsvm2hjzB1WWkryxIj,0.395,,0.883,0.000711,0.86,0.0517,135.131,-1.12
5wPUGMFkGjNQH9W3FkgkGt,0.322,,0.72,0.000157,0.839,0.00766,182.676,-2.787
1PjbjMEDnpGMDnyqoGCCfD,0.306,,0.926,0.0101,0.7,0.772,178.955,-1.488
7BmrfUmiDAPHGZCuPCD1F7,0.122,,0.917,0.00012,0.351,0.908,179.792,-3.28
5u8JQ4bEIV7vJt5ngcIVXv,0.324,,0.913,0.000294,0.539,0.0693,177.581,0.265
